source,title,doi,pmid,link,internal_id,"success,pdf_path",success,pdf_path
Scopus,Structure of the antitumor protein neocarzinostatin. Amino acid sequence,10.1016/0003-9861(74)90046-0,,https://doi.org/10.1016/0003-9861(74)90046-0,6ca7fded-9178-6f54-151f-b4821890b62842a71933,,False,
Scopus,"Structure of the antitumor protein neocarzinostatin. Purification, amino acid composition, disulfide reduction, and isolation and composition of tryptic peptides",10.1016/0003-9861(74)90045-9,,https://doi.org/10.1016/0003-9861(74)90045-9,28f77626-e8e3-605a-8666-069688323626d97fd7dd,,False,
Scopus,Chemical synthesis and characterization of n-fattyacyl monoaminoacyl derivatives of colistin nonapeptide,10.1080/00021369.1974.10861427,,https://doi.org/10.1080/00021369.1974.10861427,d2024ae2-0910-00e8-43e3-fa8e0a178bb423256927,,False,
Scopus,Association of Anergy with an Immunosuppressive Peptide Fraction in the Serum of Patients with Cancer,10.1056/NEJM197412122912401,,https://doi.org/10.1056/NEJM197412122912401,cb4b2a5b-4b8d-da58-5714-a748a1417272b3af7e4a,,False,
Scopus,"Inhibition of cyclic 3′,5′-nucleotide phosphodiesterase-a possible mechanism of action of bifunctional alkylating agents",10.1016/0006-2952(75)90279-8,,https://doi.org/10.1016/0006-2952(75)90279-8,3f48885b-bde6-ef7b-35fd-c27f9aeaff80ef1f3b9b,,False,
Scopus,"Comparative effects of alkylating agents and other anti-tumour agents on the intracellular level of adenosine 3′,5′-monophosphate in Walker carcinoma",10.1016/0006-2952(75)90335-4,,https://doi.org/10.1016/0006-2952(75)90335-4,20eaa082-8c58-9465-38f5-e256e8d8cff7c85672d1,,False,
Scopus,"Complexes of Rhodium(II) Carboxylates with Adenosine 5'-Mono-, 5'-Di-, and 5'-Triphosphates",10.1021/ic50153a032,,https://doi.org/10.1021/ic50153a032,7cd52b72-5617-065e-2372-41142372fac29c58b074,,False,
Scopus,A new pigmented antibiotic from a soil streptomycete,10.1007/BF02879006,,https://doi.org/10.1007/BF02879006,1e41bc6a-7ee7-ea27-7187-6871d09f08cb14b93321,,False,
Scopus,Chemical and biological properties of peptido-glucan fraction from Armillaria mellea (Basidiomycetes),10.1016/0304-4165(76)90292-0,,https://doi.org/10.1016/0304-4165(76)90292-0,d799e39d-2af0-b656-0973-badd059dadb20adad054,,False,
Scopus,Effect of ATP and other nucleotides on the bleomycin-induced degradation of vaccinia virus DNA,10.1016/0042-6822(76)90476-1,,https://doi.org/10.1016/0042-6822(76)90476-1,3e59a923-c719-203a-7008-c8dea995edb25127fcc6,,False,
Scopus,Structure-Activity Relation of Daunorubicin and its Peptide Derivatives,10.1021/jm00225a008,,https://doi.org/10.1021/jm00225a008,6ff71dfd-c19c-f9bf-27c0-8531c99f332fddc00729,,False,
